id,url,zh_tw,ja,en,translate,note
uncensored-gre081,https://www.busfan.club/uncensored/genre/gre081,長發,黒髪ロング,黒髪ロング,長發,
uncensored-1f,https://www.busfan.club/uncensored/genre/1f,超VIP,超VIP,超VIP,超VIP,
6f,https://www.busfan.club/genre/6f,超級女英雄,変身ヒロイン,Super Heroine,超级女英雄,
5d,https://www.busfan.club/genre/5d,超乳,超乳,Huge Tits,超乳,
1z,https://www.busfan.club/genre/1z,潮吹,潮吹き,Squirting,潮吹,
uncensored-gre091,https://www.busfan.club/uncensored/genre/gre091,潮吹,潮吹き,Shiofuki,潮吹,
uncensored-30,https://www.busfan.club/uncensored/genre/30,車,車,車,車,
uncensored-gre146,https://www.busfan.club/uncensored/genre/gre146,車內,車内,車内,車內,
2o,https://www.busfan.club/genre/2o,車掌小姐,バスガイド,Bus Tour Guide,车掌小姐,
uncensored-2g,https://www.busfan.club/uncensored/genre/2g,車震,カーセックス,カーセックス,車震,
uncensored-117,https://www.busfan.club/uncensored/genre/117,扯破連褲襪,パンスト破き・切り,tearing pantyhose,扯破連褲襪,
13,https://www.busfan.club/genre/13,成熟的女人,熟女,Mature Woman,熟女,
uncensored-gre025,https://www.busfan.club/uncensored/genre/gre025,痴女,痴女,Lust woman,痴女,
uncensored-eu,https://www.busfan.club/uncensored/genre/eu,出差,出張,出張,出差,
4r,https://www.busfan.club/genre/4r,出軌,寝取り・寝取られ,Cheating Wife,出轨,
uncensored-h1,https://www.busfan.club/uncensored/genre/h1,廚房,キッチン,キッチン,廚房,
52,https://www.busfan.club/genre/52,處男,童貞,Cherry Boy,处男,
41,https://www.busfan.club/genre/41,處女,処女,Virgin,处女,
uncensored-t9,https://www.busfan.club/uncensored/genre/t9,處女作,初登場,初登場,處女作,
59,https://www.busfan.club/genre/59,觸手,触手,Tentacle,触手,
uncensored-103,https://www.busfan.club/uncensored/genre/103,床,ベッド,ベッド,床,
3r,https://www.busfan.club/genre/3r,粗暴,鬼畜,Rough Sex,粗暴,
4b,https://www.busfan.club/genre/4b,催眠,催眠・洗脳,Hypnotism,催眠,
uncensored-w,https://www.busfan.club/uncensored/genre/w,搭訕,ナンパ,ナンパ,搭訕,
uncensored-17y,https://www.busfan.club/uncensored/genre/17y,打底褲,レギンス,レギンス,打底褲,
uncensored-gre105,https://www.busfan.club/uncensored/genre/gre105,打飛機,ハード系,ハード系,打飛機,
uncensored-10u,https://www.busfan.club/uncensored/genre/10u,打屁股,スパンキング,love-spanking,打屁股,
x,https://www.busfan.club/genre/x,打手槍,手コキ,Handjob,打手枪,
uncensored-gre101,https://www.busfan.club/uncensored/genre/gre101,打樁機,マングリ返し,マングリ返し,打樁機,
uncensored-10q,https://www.busfan.club/uncensored/genre/10q,大便,うんち,うんち,大便,
uncensored-hb,https://www.busfan.club/uncensored/genre/hb,大街,街中,街中,大街,
uncensored-gre119,https://www.busfan.club/uncensored/genre/gre119,大量潮吹,大量潮吹き,大量潮吹き,大量潮吹,
uncensored-5d,https://www.busfan.club/uncensored/genre/5d,大學生,大学生,大学生,大學生,
uncensored-88,https://www.busfan.club/uncensored/genre/88,大衣,コート,コート,大衣,
uncensored-i0,https://www.busfan.club/uncensored/genre/i0,大陰蒂,巨大クリ,巨大クリ,大陰蒂,
f,https://www.busfan.club/genre/f,單體作品,単体作品,Featured Actress,单体作品,
10,https://www.busfan.club/genre/10,蕩婦,痴女,Slut,荡妇,
37,https://www.busfan.club/genre/37,倒追,逆ナン,Reverse Pick Up,倒追,
uncensored-13k,https://www.busfan.club/uncensored/genre/13k,地下室,地下室,Basement,地下室,
1g,https://www.busfan.club/genre/1g,第一人稱攝影,ハメ撮り,POV,第一人称摄影,
uncensored-gre001,https://www.busfan.club/uncensored/genre/gre001,第一視角,ハメ撮り,Fucking holding Camera,第一視角,
uncensored-48,https://www.busfan.club/uncensored/genre/48,店員,店員,店員,店員,
uncensored-gre120,https://www.busfan.club/uncensored/genre/gre120,電動按摩器,電マ,電マ,電動按摩器,
uncensored-34,https://www.busfan.club/uncensored/genre/34,電動陽具,ローター,ローター,電動陽具,
uncensored-gre137,https://www.busfan.club/uncensored/genre/gre137,電話,テレフォンセックス,テレフォンセックス,電話,
uncensored-5e,https://www.busfan.club/uncensored/genre/5e,電梯,エレベーター,エレベーター,電梯,
uncensored-12u,https://www.busfan.club/uncensored/genre/12u,電鑽,電気ドリル,Electric drill,電鑽,
uncensored-6t,https://www.busfan.club/uncensored/genre/6t,調教,調教,調教,調教,
uncensored-gre062,https://www.busfan.club/uncensored/genre/gre062,丁字褲,Tバック、まんぐり返し,Tバック、まんぐり返し,丁字褲,
6q,https://www.busfan.club/genre/6q,動画,動画,動画,, '動画'更偏向于电影、视频的意思，而且这个分类下面没有影片
64,https://www.busfan.club/genre/64,動畫人物,アニメキャラクター,Anime Character,动画人物,
uncensored-gre165,https://www.busfan.club/uncensored/genre/gre165,動漫,アニメ,Anime,動漫,
o,https://www.busfan.club/genre/o,獨立製作,インディーズ,Independent,独立制作,
uncensored-2a,https://www.busfan.club/uncensored/genre/2a,獨佔動畫,独占動画,独占動画,獨佔動畫,
7y,https://www.busfan.club/genre/7y,堵嘴・喜劇,ギャグ・コメディ,Gag·Comedy,堵嘴·喜剧,
uncensored-17i,https://www.busfan.club/uncensored/genre/17i,短褲,短パン,短パン,短褲,
3,https://www.busfan.club/genre/3,多P,3P・4P,Threesome / Foursome,多P,
uncensored-gre126,https://www.busfan.club/uncensored/genre/gre126,多P,３P,３P,多P,
uncensored-gre077,https://www.busfan.club/uncensored/genre/gre077,多毛,毛深い,毛深い,多毛,
uncensored-gre111,https://www.busfan.club/uncensored/genre/gre111,多人口交,Ｗフェラ,Ｗフェラ,多人口交,
3v,https://www.busfan.club/genre/3v,惡作劇,イタズラ,Pranks,恶作剧,
uncensored-m3,https://www.busfan.club/uncensored/genre/m3,惡作劇,ドッキリ,ドッキリ,惡作劇,
